"session_id","scenario_name","participant_id","start_time","finish_time","browser_info","machine_info","finish_tag"
"130","143-1","143-1","2018-10-26 15:52:06","2018-10-26 16:35:58","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36","","130-5bd3a4def3db99.39730228"
"131","139-2","139-2","2018-10-29 09:48:46","2018-10-29 10:11:34","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36","","131-5bd73f46cbef08.29123810"
"132","141-2","141-2","2018-10-29 11:11:05","2018-10-29 11:30:07","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36","","132-5bd751af065bf1.40053811"
"133","142-2","142-2","2018-10-29 15:16:49","2018-10-29 15:39:27","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36","","133-5bd78c1ff1f647.27023809"
"134","143-2","143-2","2018-10-29 16:00:00","2018-10-29 16:27:42","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36","","134-5bd7976ed93265.03708002"
"135","166-2","166-2","2018-10-29 17:40:54","2018-10-29 18:02:08","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36","","135-5bd7ad90566932.04402617"
"136","167-1","167-1","2018-10-30 11:37:07","2018-10-30 12:10:46","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36","","136-5bd8acb6e722e6.57559447"
"137","168-1","168-1","2018-10-30 12:15:21","2018-10-30 12:35:46","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36","","137-5bd8b292afd742.11985425"
"138","144-1","144-1","2018-10-30 18:26:29","2018-10-30 19:06:36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36","","138-5bd90e2c64fa90.60028227"
"139","145-1","145-1","2018-10-30 19:07:07","2018-10-30 19:45:10","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36","","139-5bd917367d81b8.27476238"
"140","168-2","168-2","2018-11-01 11:49:15","2018-11-01 12:08:36","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36","","140-5bdb4f348e2088.50434301"
"141","144-2","144-2","2018-11-01 18:21:44","2018-11-01 18:55:22","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36","","141-5bdbae8aad42c9.07372369"
"142","145-2","145-2","2018-11-01 18:58:21","2018-11-01 19:38:21","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36","","142-5bdbb89d9287b8.28777726"
"143","146-1","146-1","2018-11-02 09:34:57","2018-11-02 11:41:37","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36","","143-5bdc9a61d1f3a5.12956915"
"144","146-2","146-2","2018-11-05 11:08:42","2018-11-05 11:35:22","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36","","144-5be09b7a41c688.48226642"
"145","169-1","169-1","2018-11-05 18:36:17","2018-11-05 19:00:18","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36","","145-5be103c2a48640.96824553"
"146","170-1","170-1","2018-11-06 11:50:51","2018-11-06 12:23:41","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36","","146-5be1f84d449ce5.39140937"
"147","147-1","147-1","2018-11-07 10:27:05","2018-11-07 11:08:23","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36","","147-5be33827ba9eb7.75333212"
"148","148-1","148-1","2018-11-07 11:08:57","2018-11-07 11:47:53","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36","","148-5be34169b27597.63697433"
"149","171-1","171-1","2018-11-08 16:40:36","2018-11-08 17:02:43","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36","","149-5be4dcb39c9be7.52188864"
"150","169-2","169-2","2018-11-08 18:14:57","2018-11-08 18:35:00","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36","","150-5be4f25466c971.78443491"
"151","148-2","148-2","2018-11-09 09:33:17","2018-11-09 09:59:51","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36","","151-5be5cb173881e3.67262891"
"152","170-2","170-2","2018-11-09 10:19:33","2018-11-09 11:02:24","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36","","152-5be5d9c0348388.81364429"
"153","147-2","147-2","2018-11-09 13:21:58","2018-11-09 14:02:17","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36","","153-5be603e96cdfe6.02384525"
"154","171-2","171-2","2018-11-10 12:55:07","2018-11-10 13:14:43","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36","","154-5be74a43820406.51389883"
"155","108-1","108-1","2018-11-13 09:00:08","2018-11-13 09:26:15","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36","","155-5beb093785bf20.71020520"
"156","109-1","109-1","2018-11-13 10:28:37","2018-11-13 10:54:28","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36","","156-5beb1de451f9f3.60786566"
"157","149-1","149-1","2018-11-13 19:22:55","","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36","",""
"158","109-2","109-2","2018-11-14 11:12:24","2018-11-14 11:33:46","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36","","158-5bec789aec2997.68231706"
"159","149-1","149-1","2018-11-14 15:45:14","2018-11-14 16:30:32","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36","","159-5becbe2891e4d5.77015420"
"160","150-1","150-1","2018-11-14 16:53:32","2018-11-14 17:15:11","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36","","160-5becc89fc60004.99524265"
